x;y
120;124
120;123
120;120
120;119
120;117
120;116
120;114
120;111
120;109
120;107
117;104
115;104
114;104
112;104
110;104
106;104
104;104
101;104
99;104
94;104
93;104
91;102
90;99
86;95
85;92
83;90
81;89
77;86
75;84
73;83
71;81
68;78
67;76
65;74
64;72
63;68
63;66
63;63
63;61
62;56
61;54
59;52
58;50
55;47
53;45
51;44
49;42
45;39
43;38
41;36
41;35
41;35
41;35
41;35
41;35
37;34
35;32
33;31
31;29
27;26
25;24
23;23
21;21
17;18
17;16
17;14
17;11
17;9
17;7
16;5
13;2
12;0
10;-1
9;-2
7;-4
3;-5
1;-5
0;-5
-2;-5
-3;-5
-3;-5
-3;-5
-3;-5
-3;-5
-3;-6
-3;-8
-3;-10
-3;-14
-3;-16
-5;-18
-7;-20
-11;-24
-13;-26
-15;-28
-19;-30
-25;-30
-27;-30
-30;-30
-33;-30
-37;-32
-39;-34
-41;-36
-43;-38
-47;-42
-49;-45
-50;-47
-52;-50
-55;-55
-56;-57
-58;-59
-60;-61
-63;-64
-65;-66
-67;-68
-69;-70
-72;-73
-74;-75
-76;-76
-78;-78
-81;-82
-85;-85
-85;-85
-88;-89
-89;-91
-91;-92
-94;-96
-95;-98
-97;-99
-98;-101
-98;-103
-98;-106
-98;-108
-98;-110
-100;-113
-100;-113
-103;-117
-105;-118
-107;-120
-111;-122
-114;-122
-117;-122
-122;-122
-125;-122
-126;-122
-126;-122
-126;-122
-126;-122
-126;-122
-126;-123
-125;-125
-121;-128
-119;-129
-117;-130
-113;-130
