x;y
124;-130
124;-128
124;-122
124;-118
124;-115
124;-112
124;-107
124;-105
124;-104
124;-102
124;-99
124;-99
124;-99
122;-99
122;-99
119;-99
118;-99
116;-99
113;-99
111;-99
109;-99
107;-99
105;-99
102;-99
102;-99
102;-99
102;-95
102;-92
102;-90
99;-85
97;-83
96;-83
95;-83
93;-83
89;-83
87;-83
85;-83
83;-83
81;-83
77;-83
75;-82
73;-79
69;-71
69;-67
69;-63
69;-60
69;-60
69;-60
68;-60
67;-60
64;-60
62;-60
61;-60
58;-60
54;-60
51;-58
49;-55
46;-51
46;-45
46;-42
46;-40
46;-40
46;-40
43;-40
41;-40
39;-40
37;-40
33;-40
31;-40
29;-40
25;-34
23;-29
22;-25
22;-20
22;-11
22;-9
22;-7
22;-5
18;-1
16;0
14;0
12;0
8;0
6;0
3;0
-1;3
-3;4
-6;6
-8;7
-12;9
-13;9
-15;9
-16;9
-18;9
-19;9
-22;9
-24;9
-25;9
-27;9
-27;11
-27;14
-27;20
-27;20
-27;27
-27;30
-27;34
-27;37
-27;44
-28;47
-30;50
-33;50
-39;50
-42;50
-45;50
-51;50
-53;50
-56;50
-59;50
-62;50
-62;55
-62;59
-62;64
-62;73
-64;78
-65;80
-67;80
-70;80
-72;80
-74;80
-77;80
-79;80
-84;80
-86;80
-88;80
-92;83
-93;86
-95;88
-97;91
-98;93
-98;95
-98;95
-98;95
-98;95
-98;95
-98;95
-98;95
-98;95
-98;95
-100;95
-101;95
-105;95
-107;95
-108;95
-112;95
-114;95
-116;95
-118;95
-120;95
-120;97
-120;101
-120;104
-120;107
-120;113
-120;114
