time;x;y;fx;fy
63;120;-120;0;95
126;120;-120;0;95
189;120;-120;0;48
252;120;-120;0;48
315;120;-120;0;48
378;120;-120;0;48
441;120;-120;0;48
504;120;-119;0;121
567;120;-117;0;121
630;120;-116;0;121
693;120;-112;0;121
756;120;-111;0;121
819;120;-109;0;245
882;120;-104;0;245
945;120;-94;0;245
1008;120;-90;0;245
1071;120;-85;0;245
1134;120;-80;0;246
1197;120;-71;0;246
1260;120;-66;0;246
1323;120;-62;0;246
1386;120;-57;0;246
1449;120;-49;0;206
1512;120;-45;0;206
1575;120;-42;0;206
1638;120;-36;0;206
1701;120;-32;0;206
1764;120;-28;0;272
1827;120;-23;0;272
1890;120;-19;0;272
1953;120;-9;0;272
2016;120;-5;0;272
2079;120;0;0;263
2142;120;4;0;263
2205;120;13;0;263
2268;120;18;0;263
2331;120;23;0;263
2394;120;27;0;231
2457;120;34;0;231
2520;120;37;0;231
2583;120;40;0;231
2646;120;44;0;231
2709;120;47;0;173
2772;120;52;0;173
2835;120;54;0;173
2898;120;57;0;173
2961;120;62;0;172
3024;120;64;0;172
3087;120;67;0;172
3150;120;69;0;172
3213;120;74;0;172
3276;120;77;0;182
3339;120;79;0;182
3402;120;82;0;182
3465;120;87;0;182
3528;120;89;0;182
3591;120;92;0;182
3654;120;94;0;130
3717;120;97;0;130
3780;120;99;0;130
3843;120;100;0;130
3906;120;102;0;130
3969;120;103;0;110
4032;120;103;0;110
4095;120;103;0;110
4158;120;103;0;110
4221;120;104;0;131
4284;120;106;0;131
4347;120;107;0;131
4410;120;109;0;131
4473;120;112;0;131
4536;120;114;0;131
4599;120;116;0;116
4662;120;117;0;116
4725;120;120;0;116
4788;120;122;0;116
4851;120;123;0;116
4914;120;124;0;0
4977;120;124;0;0
5040;120;124;0;0
5103;120;124;0;0
5166;120;124;0;0
5229;120;124;0;0
5292;120;124;0;0
5355;120;124;0;0
5418;120;124;0;0
5481;120;124;0;-33
5544;120;124;0;-33
5607;120;124;0;-33
5670;120;124;0;-33
5733;120;124;0;-33
5796;120;124;-32;-57
5859;120;124;-32;-57
5922;120;124;-32;-57
5985;120;124;-32;-57
6048;120;124;-32;-57
6111;120;124;-43;-57
6174;120;123;-43;-112
6237;120;120;-43;-112
6300;120;119;-43;-112
6363;120;117;-43;-112
6426;120;116;-54;-112
6489;120;114;-54;-125
6552;120;111;-54;-125
6615;120;109;-54;-125
6678;120;107;-54;-125
6741;117;104;-125;-69
6804;115;104;-125;-69
6867;114;104;-125;-69
6930;112;104;-125;-69
6993;110;104;-125;-69
7056;106;104;-164;-62
7119;104;104;-164;-62
7182;101;104;-164;-62
7245;99;104;-164;-62
7308;94;104;-116;-62
7371;93;104;-116;-160
7434;91;102;-116;-160
7497;90;99;-116;-160
7560;86;95;-116;-160
7623;85;92;-142;-160
7686;83;90;-142;-117
7749;81;89;-142;-117
7812;77;86;-142;-117
7875;75;84;-142;-117
7938;73;83;-142;-117
8001;71;81;-114;-117
8064;68;78;-114;-132
8127;67;76;-114;-132
8190;65;74;-114;-132
8253;64;72;-114;-132
8316;63;68;-96;-168
8379;63;66;-96;-168
8442;63;63;-96;-168
8505;63;61;-96;-168
8568;62;56;-118;-168
8631;61;54;-118;-127
8694;59;52;-118;-127
8757;58;50;-118;-127
8820;55;47;-118;-127
8883;53;45;-152;-127
8946;51;44;-152;-113
9009;49;42;-152;-113
9072;45;39;-152;-113
9135;43;38;-152;-113
9198;41;36;-106;-113
9261;41;35;-106;-101
9324;41;35;-106;-101
9387;41;35;-106;-101
9450;41;35;-106;-101
9513;41;35;-135;-101
9576;37;34;-135;-119
9639;35;32;-135;-119
9702;33;31;-135;-119
9765;31;29;-135;-119
9828;27;26;-147;-125
9891;25;24;-147;-125
9954;23;23;-147;-125
10017;21;21;-147;-125
10080;17;18;-147;-125
10143;17;16;-96;-125
10206;17;14;-96;-134
10269;17;11;-96;-134
10332;17;9;-96;-134
10395;17;7;-96;-134
10458;16;5;-111;-134
10521;13;2;-111;-128
10584;12;0;-111;-128
10647;10;-1;-111;-128
10710;9;-2;-111;-128
10773;7;-4;-137;-128
10836;3;-5;-137;-100
10899;1;-5;-137;-100
10962;0;-5;-137;-100
11025;-2;-5;-137;-100
11088;-3;-5;-106;-110
