x;y
-113;-130
-110;-130
-107;-130
-101;-130
-97;-130
-94;-130
-85;-130
-80;-130
-76;-130
-66;-130
-66;-130
-60;-130
-58;-130
-55;-130
-50;-130
-47;-130
-44;-130
-40;-130
-37;-130
-29;-130
-26;-130
-22;-130
-15;-130
-11;-130
-7;-130
0;-130
3;-130
6;-130
10;-130
17;-130
21;-130
26;-130
30;-130
35;-130
44;-130
49;-130
53;-130
56;-130
62;-130
65;-130
69;-130
72;-130
72;-130
75;-130
77;-130
78;-130
79;-130
79;-130
79;-130
79;-130
80;-130
82;-130
84;-130
86;-130
88;-130
92;-130
96;-130
100;-130
103;-130
111;-130
114;-130
116;-130
117;-130
121;-130
122;-130
124;-130
