x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-119
120;-117
120;-116
120;-112
120;-111
120;-109
120;-104
120;-94
120;-90
120;-85
120;-80
120;-71
120;-66
120;-62
120;-57
120;-49
120;-45
120;-42
120;-36
120;-32
120;-28
120;-23
120;-19
120;-9
120;-5
120;0
120;4
120;13
120;18
120;23
120;27
120;34
120;37
120;40
120;44
120;47
120;52
120;54
120;57
120;62
120;64
120;67
120;69
120;74
120;77
120;79
120;82
120;87
120;89
120;92
120;94
120;97
120;99
120;100
120;102
120;103
120;103
120;103
120;103
120;104
120;106
120;107
120;109
120;112
120;114
120;116
120;117
120;120
120;122
120;123
120;124
120;124
